Course,Birth_Date,Gender,Nationality,Arrival_Medium,Arrival_Company,Arrival_Number,Name,Comienzo,Llegada
La Alberca TEENS-VOLUNTEER 2 WEEKS from 07/02/2021 to 07/16/2021,12/04/2006,Male,UNITED KINGDOM,Train,Renfe,5801,Dalton Simon,2021-07-02,2022-07-01
La Alberca TEENS-VOLUNTEER 1 WEEK from 07/02/2021 to 07/09/2021,13/01/2004,Female,USA,Plane,American Airlines,AA8638 ,Stacey Evans,2021-07-02,2022-07-01
La Alberca TEENS-VOLUNTEER 1 WEEK from 07/02/2021 to 07/09/2021,17/01/2005,Male,USA,Plane,Delta Airlines,VS 3889,Keith Drake,2021-07-02,2022-07-01
La Alberca TEENS-VOLUNTEER 2 WEEKS from 07/09/2021 to 07/23/2021,01/09/2005,Female,CANADA,Plane,Air Portugal,TP 1024,Marissa Norton,2021-07-09,2022-07-08
La Alberca TEENS-VOLUNTEER 1 WEEK from 07/02/2021 to 07/09/2021,11/10/2003,Female,SPAIN,Car,Parents,N.A.,Denise Banks,2021-07-02,2022-07-01
La Alberca TEENS-VOLUNTEER 2 WEEKS from 07/02/2021 to 07/16/2021,04/03/2005,Female,CANADA,Plane,Tap Air Portugal,TAP1024,Laura Dennis,2021-07-02,2022-07-01
Valverde TEENS-VOLUNTEER 1 WEEK from 07/09/2021 to 07/16/2021,22/02/2005,Female,IRELAND,Plane,Ryan air ,FR7256,Paula Miller,2021-07-09,2022-07-08
La Alberca TEENS-VOLUNTEER 2 WEEKS from 07/09/2021 to 07/23/2021,19/12/2005,Male,CANADA,Plane,Air Canada (Lufthansa),AC9180,Matthew Martin,2021-07-09,2022-07-08
La Alberca TEENS-VOLUNTEER 2 WEEKS from 07/09/2021 to 07/23/2021,03/05/2005,Female,USA,Plane,Iberia,BA4264,Kristina Jones,2021-07-09,2022-07-08
La Alberca TEENS-VOLUNTEER 1 WEEK from 07/16/2021 to 07/23/2021,28/12/2005,Female,SPAIN,Car,Parents,family car,Jennifer Mathis,2021-07-16,2022-07-15
La Alberca TEENS-VOLUNTEER 1 WEEK from 07/02/2021 to 07/09/2021,30/09/2003,Male,IRELAND,Plane,Ryanair,FR7156,Jeffrey Mcguire,2021-07-02,2022-07-01
La Alberca TEENS-VOLUNTEER 2 WEEKS from 07/02/2021 to 07/16/2021,30/09/2003,Male,IRELAND,Plane,Ryanair,FR7156,Jeffrey Mcguire,2021-07-02,2022-07-01
La Alberca TEENS-VOLUNTEER 1 WEEK from 07/16/2021 to 07/23/2021,16/08/2004,Female,USA,Car,Milena?s Parents,Milena Car,Mary Lopez,2021-07-16,2022-07-15
La Alberca TEENS-VOLUNTEER 2 WEEKS from 07/09/2021 to 07/23/2021,13/01/2008,Male,SPAIN,Train,Renfe ,AVLO 06304,Juan Tran,2021-07-09,2022-07-08
La Alberca TEENS-VOLUNTEER 2 WEEKS from 07/09/2021 to 07/23/2021,18/11/2005,Female,USA,Plane,American Airlines,AA36,Eileen White,2021-07-09,2022-07-08
